2008-12-23 09:30:38 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:31:00 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:31:26 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:42 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:43 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:43 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:43 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:32:44 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:52 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:37:53 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:19 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:19 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:19 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 09:40:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:06:50 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:11:31 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:11:33 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:12:04 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:12:04 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:12:25 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:12:25 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:12:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:12:41 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:13:04 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:13:08 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:13:32 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:13:50 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:15:56 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:16:10 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:16:24 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:17:12 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:18:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:19:24 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:19:26 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:20:07 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:21:20 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:21:49 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:23:26 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:23:36 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:30:52 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:42:00 Debug: Notice (8): Undefined index:  User in [APP\views\home\me.ctp, line 14]
2008-12-23 10:42:00 Debug: Notice (8): Undefined index:  userinfo in [APP\views\home\me.ctp, line 15]
2008-12-23 10:42:01 Debug: Notice (8): Undefined variable: javascript in [APP\views\layouts\default.ctp, line 11]
2008-12-23 10:43:10 Debug: Notice (8): Undefined index:  User in [APP\views\home\me.ctp, line 14]
